SNR_dB,CC_time_RMSE,CC_time_Std,CC_time_EQM,GCC_RMSE,GCC_Std,GCC_EQM,PHAT_RMSE,PHAT_Std,PHAT_EQM,ROTH_RMSE,ROTH_Std,ROTH_EQM,SCOT_RMSE,SCOT_Std,SCOT_EQM,ECKART_RMSE,ECKART_Std,ECKART_EQM,HT_RMSE,HT_Std,HT_EQM
0,0.537325024373686,0.521361853052352,0.288718181818182,0.533597472469897,0.522136249101958,0.284726262626262,1.6846304633301,1.67271629333243,2.8379797979798,2.856910636306,2.82733768479083,8.16193838383837,0.552203117365596,0.541136103793013,0.304928282828283,0.378679257153042,0.373895680368174,0.14339797979798,0.812597158138115,0.794615719334913,0.660314141414141
10,0.0999999999999996,0,0.00999999999999993,0.0999999999999996,0,0.00999999999999993,0.0999999999999996,0,0.00999999999999993,0.134536240470737,0.1,0.0181,0.0999999999999996,0,0.00999999999999993,0.0999999999999996,0,0.00999999999999993,0.0999999999999996,0,0.00999999999999993
20,0.0999999999999996,0,0.00999999999999993,0.0999999999999996,0,0.00999999999999993,0.0999999999999996,0,0.00999999999999993,0.0999999999999996,0,0.00999999999999993,0.0999999999999996,0,0.00999999999999993,0.0999999999999996,0,0.00999999999999993,0.0999999999999996,0,0.00999999999999993
